Year,Position,Team,Games Played,Win,Draw,Loss,Goals For,Goals Against,Goal Difference,Points
1938,1,Italy,4,4,0,0,11,5,6,8
1938,2,Hungary,4,3,0,1,15,5,10,6
1938,3,Brazil,5,3,1,1,14,11,3,7
1938,4,Sweden,3,1,0,2,11,9,2,2
1938,5,Czechoslovakia,3,1,1,1,5,3,2,3
1938,6,Switzerland,3,1,1,1,5,5,0,3
1938,7,Cuba,3,1,1,1,5,12,−7,3
1938,8,France,2,1,0,1,4,4,0,2
1938,9,Romania,2,0,1,1,4,5,-1,1
1938,10,Germany,2,0,1,1,3,5,-2,1
1938,11,Poland,1,0,0,1,5,6,−1,0
1938,12,Norway,1,0,0,1,1,2,−1,0
1938,13,Belgium,1,0,0,1,1,3,−2,0
1938,14,Netherlands,1,0,0,1,0,3,−3,0
1938,15,Dutch East Indies,1,0,0,1,0,6,−6,0
