Year,Position,Team,Games Played,Win,Draw,Loss,Goals For,Goals Against,Goal Difference,Points
1986,1,Argentina,7,6,1,0,14,5,9,13
1986,2,West Germany,7,3,2,2,8,7,1,8
1986,3,France,7,4,2,1,12,6,6,10
1986,4,Belgium,7,2,2,3,12,15,−3,6
1986,5,Brazil,5,4,1,0,10,1,9,9
1986,6,Mexico,5,3,2,0,6,2,4,8
1986,7,Spain,5,3,1,1,11,4,7,7
1986,8,England,5,2,1,2,7,3,4,5
1986,9,Denmark,4,3,0,1,10,6,4,6
1986,10,Soviet Union,4,2,1,1,12,5,7,5
1986,11,Morocco,4,1,2,1,3,2,1,4
1986,12,Italy,4,1,2,1,5,6,−1,4
1986,13,Paraguay,4,1,2,1,4,6,−2,4
1986,14,Poland,4,1,1,2,1,7,−6,3
1986,15,Bulgaria,4,0,2,2,2,6,−4,2
1986,16,Uruguay,4,0,2,2,2,8,−6,2
1986,17,Portugal,3,1,0,2,2,4,−2,2
1986,18,Hungary,3,1,0,2,2,9,−7,2
1986,19,Scotland,3,0,1,2,1,3,−2,1
1986,20,South Korea,3,0,1,2,4,7,−3,1
1986,21,Northern Ireland,3,0,1,2,2,6,−4,1
1986,22,Algeria,3,0,1,2,1,5,−4,1
1986,23,Iraq,3,0,0,3,1,4,−3,0
1986,24,Canada,3,0,0,3,0,5,−5,0
