Year,Position,Team,Games Played,Win,Draw,Loss,Goals For,Goals Against,Goal Difference,Points
1950,1,Uruguay,4,3,1,0,15,5,10,7
1950,2,Brazil,6,4,1,1,22,6,16,9
1950,3,Sweden,5,2,1,2,11,15,−4,5
1950,4,Spain,6,3,1,2,10,12,−2,7
1950,5,Yugoslavia,3,2,0,1,7,3,4,4
1950,6,Switzerland,3,1,1,1,4,6,−2,3
1950,7,Italy,2,1,0,1,4,3,1,2
1950,8,England,3,1,0,2,2,2,0,2
1950,9,Chile,3,1,0,2,5,6,−1,2
1950,10,United States,3,1,0,2,4,8,−4,2
1950,11,Paraguay,2,0,1,1,2,4,−2,1
1950,12,Mexico,3,0,0,3,2,10,−8,0
1950,13,Bolivia,1,0,0,1,0,8,−8,0
