Year,Position,Team,Games Played,Win,Draw,Loss,Goals For,Goals Against,Goal Difference,Points
1966,1,England,6,5,1,0,11,3,8,11
1966,2,West Germany,6,4,1,1,15,6,9,9
1966,3,Portugal,6,5,0,1,17,8,9,10
1966,4,Soviet Union,6,4,0,2,10,6,4,8
1966,5,Argentina,4,2,1,1,4,2,2,5
1966,6,Hungary,4,2,0,2,8,7,1,4
1966,7,Uruguay,4,1,2,1,2,5,−3,4
1966,8,North Korea,4,1,1,2,5,9,−4,3
1966,9,Italy,3,1,0,2,2,2,0,2
1966,10,Spain,3,1,0,2,4,5,−1,2
1966,11,Brazil,3,1,0,2,4,6,−2,2
1966,12,Mexico,3,0,2,1,1,3,−2,2
1966,13,Chile,3,0,1,2,2,5,−3,1
1966,13,France,3,0,1,2,2,5,−3,1
1966,15,Bulgaria,3,0,0,3,1,8,−7,0
1966,16,Switzerland,3,0,0,3,1,9,−8,0
