Year,Position,Team,Games Played,Win,Draw,Loss,Goals For,Goals Against,Goal Difference,Points
1970,1,Brazil,6,6,0,0,19,7,12,12
1970,2,Italy,6,3,2,1,10,8,2,8
1970,3,West Germany,6,5,0,1,17,10,7,10
1970,4,Uruguay,6,2,1,3,4,5,−1,5
1970,5,Soviet Union,4,2,1,1,6,2,4,5
1970,6,Mexico,4,2,1,1,6,4,2,5
1970,7,Peru,4,2,0,2,9,9,0,4
1970,8,England,4,2,0,2,4,4,0,4
1970,9,Sweden,3,1,1,1,2,2,0,3
1970,10,Belgium,3,1,0,2,4,5,−1,2
1970,10,Romania,3,1,0,2,4,5,−1,2
1970,12,Israel*,3,0,2,1,1,3,−2,2
1970,13,Bulgaria**,3,0,1,2,5,9,−4,1
1970,14,Morocco,3,0,1,2,2,6,−4,1
1970,15,Czechoslovakia,3,0,0,3,2,7,−5,0
1970,16,El Salvador,3,0,0,3,0,9,−9,0
