Year,Position,Team,Games Played,Win,Draw,Loss,Goals For,Goals Against,Goal Difference,Points
1962,1,Brazil,6,5,1,0,14,5,9,11
1962,2,Czechoslovakia,6,3,1,2,7,7,0,7
1962,3,Chile,6,4,0,2,10,8,2,8
1962,4,Yugoslavia,6,3,0,3,10,7,3,6
1962,5,Hungary,4,2,1,1,8,3,5,5
1962,6,Soviet Union,4,2,1,1,9,7,2,5
1962,7,West Germany,4,2,1,1,4,2,2,5
1962,8,England,4,1,1,2,5,6,−1,3
1962,9,Italy,3,1,1,1,3,2,1,3
1962,10,Argentina,3,1,1,1,2,3,−1,3
1962,11,Mexico,3,1,0,2,3,4,−1,2
1962,12,Spain,3,1,0,2,2,3,−1,2
1962,13,Uruguay,3,1,0,2,4,6,−2,2
1962,14,Colombia,3,0,1,2,5,11,−6,1
1962,15,Bulgaria,3,0,1,2,1,7,−6,1
1962,16,Switzerland,3,0,0,3,2,8,−6,0
