Year,Position,Team,Games Played,Win,Draw,Loss,Goals For,Goals Against,Goal Difference,Points
1958,1,Brazil,6,5,1,0,16,4,12,11
1958,2,Sweden,6,4,1,1,12,7,5,9
1958,3,France,6,4,0,2,23,15,8,8
1958,4,West Germany,6,2,2,2,12,14,−2,6
1958,5,Wales,5,1,3,1,4,4,0,5
1958,6,Soviet Union,5,2,1,2,5,6,−1,5
1958,7,Northern Ireland,5,2,1,2,6,10,−4,5
1958,8,Yugoslavia,4,1,2,1,7,7,0,4
1958,9,Czechoslovakia,4,1,1,2,9,6,3,3
1958,10,Hungary,4,1,1,2,7,5,2,3
1958,11,England,4,0,3,1,4,5,−1,3
1958,12,Paraguay,3,1,1,1,9,12,−3,3
1958,13,Argentina,3,1,0,2,5,10,−5,2
1958,14,Scotland,3,0,1,2,4,6,−2,1
1958,15,Austria,3,0,1,2,2,7,−5,1
1958,16,Mexico,3,0,1,2,1,8,−7,1
