Year,Position,Team,Games Played,Win,Draw,Loss,Goals For,Goals Against,Goal Difference,Points
1930,1,Uruguay,4,4,0,0,15,3,12,8
1930,2,Argentina,5,4,0,1,18,9,9,8
1930,3,United States,3,2,0,1,7,6,1,4
1930,4,Yugoslavia,3,2,0,1,7,7,0,4
1930,5,Chile,3,2,0,1,5,3,2,4
1930,6,Brazil,2,1,0,1,5,2,3,2
1930,7,France,3,1,0,2,4,3,1,2
1930,8,Romania,2,1,0,1,3,5,−2,2
1930,9,Paraguay,2,1,0,1,1,3,−2,2
1930,10,Peru,2,0,0,2,1,4,−3,0
1930,11,Belgium,2,0,0,2,0,4,−4,0
1930,12,Bolivia,2,0,0,2,0,8,−8,0
1930,13,Mexico,3,0,0,3,4,13,−9,0
